unit_id,LRZ,capacity_mw,energy_storage_capacity_mwh,thermal_derate_name,thermal_for_profile_name,solar_profile_name,wind_profile_name
MISO_01_BatteryStorage_001,01,1.5,150.0,,,,
MISO_01_BatteryStorage_002,01,6.0,12.0,,,,
MISO_01_BatteryStorage_003,01,6.0,12.0,,,,
MISO_01_BatteryStorage_004,01,3.0,6.0,,,,
MISO_01_BatteryStorage_005,01,100.0,400.0,,,,
MISO_01_BatteryStorage_006,01,75.0,300.0,,,,
MISO_01_BatteryStorage_007,01,1.0,3.0,,,,
MISO_01_BatteryStorage_008,01,3.6,3.0,,,,
MISO_01_Coal_001,01,6.0,0.0,MISO_01_Conventional_Steam_Coal_RC_001,MISO_01_ST_002,,
MISO_01_Coal_002,01,7.5,0.0,MISO_01_Conventional_Steam_Coal_RC_002,MISO_01_ST_005,,
MISO_01_Coal_003,01,6.5,0.0,MISO_01_Conventional_Steam_Coal_RC_003,MISO_01_ST_006,,
MISO_01_Coal_004,01,13.3,0.0,MISO_01_Conventional_Steam_Coal_RC_005,MISO_01_ST_010,,
MISO_01_Coal_005,01,1209.6,0.0,MISO_01_Conventional_Steam_Coal_RC_006,MISO_01_ST_011,,
MISO_01_Coal_006,01,131.6,0.0,MISO_01_Conventional_Steam_Coal_RC_009,MISO_01_ST_015,,
MISO_01_Coal_007,01,922.5,0.0,MISO_01_Conventional_Steam_Coal_RC_011,MISO_01_ST_018,,
MISO_01_Coal_008,01,450.0,0.0,MISO_01_Conventional_Steam_Coal_RC_012,MISO_01_ST_019,,
MISO_01_Coal_009,01,734.0,0.0,MISO_01_Conventional_Steam_Coal_RC_016,MISO_01_ST_024,,
MISO_01_Coal_010,01,9.3,0.0,MISO_01_Conventional_Steam_Coal_RC_020,MISO_01_ST_044,,
MISO_01_Coal_011,01,1704.0,0.0,MISO_01_Conventional_Steam_Coal_RC_022,MISO_01_ST_050,,
MISO_01_Coal_012,01,450.0,0.0,MISO_01_Conventional_Steam_Coal_RC_023,MISO_01_ST_052,,
MISO_01_Coal_013,01,598.4,0.0,MISO_01_Conventional_Steam_Coal_RC_026,MISO_01_ST_059,,
MISO_01_Coal_014,01,7.5,0.0,MISO_01_Conventional_Steam_Coal_RC_029,MISO_01_ST_064,,
MISO_01_Coal_015,01,945.5,0.0,MISO_01_Conventional_Steam_Coal_RC_031,MISO_01_ST_067,,
MISO_01_Coal_016,01,38.5,0.0,MISO_01_Conventional_Steam_Coal_RC_038,MISO_01_ST_078,,
MISO_01_Coal_017,01,387.0,0.0,MISO_01_Conventional_Steam_Coal_RC_042,MISO_01_ST_087,,
MISO_01_FuelOil_018,01,4.0,0.0,,MISO_01_CT_003,,
MISO_01_FuelOil_019,01,6.0,0.0,,MISO_01_CT_004,,
MISO_01_FuelOil_020,01,6.7,0.0,,MISO_01_CT_007,,
MISO_01_FuelOil_021,01,1.3,0.0,,MISO_01_CT_008,,
MISO_01_FuelOil_022,01,6.0,0.0,,MISO_01_CT_011,,
MISO_01_FuelOil_023,01,4.0,0.0,,MISO_01_CT_014,,
MISO_01_FuelOil_024,01,4.0,0.0,,MISO_01_CT_016,,
MISO_01_FuelOil_025,01,0.8,0.0,,MISO_01_CT_018,,
MISO_01_FuelOil_026,01,48.2,0.0,,MISO_01_CT_023,,
MISO_01_FuelOil_027,01,12.5,0.0,,MISO_01_CT_025,,
MISO_01_FuelOil_028,01,2.0,0.0,,MISO_01_CT_029,,
MISO_01_FuelOil_029,01,7.6,0.0,,MISO_01_CT_031,,
MISO_01_FuelOil_030,01,15.0,0.0,,MISO_01_CT_033,,
MISO_01_FuelOil_031,01,1.5,0.0,,MISO_01_CT_034,,
MISO_01_FuelOil_032,01,7.0,0.0,,MISO_01_CT_035,,
MISO_01_FuelOil_033,01,9.2,0.0,,MISO_01_CT_036,,
MISO_01_FuelOil_034,01,5.6,0.0,,MISO_01_CT_037,,
MISO_01_FuelOil_035,01,20.1,0.0,,MISO_01_CT_039,,
MISO_01_FuelOil_036,01,25.0,0.0,,MISO_01_CT_040,,
MISO_01_FuelOil_037,01,9.2,0.0,,MISO_01_CT_041,,
MISO_01_FuelOil_038,01,1.0,0.0,,MISO_01_CT_042,,
MISO_01_FuelOil_039,01,9.1,0.0,,MISO_01_CT_046,,
MISO_01_FuelOil_040,01,11.0,0.0,,MISO_01_CT_047,,
MISO_01_FuelOil_041,01,25.1,0.0,,MISO_01_CT_048,,
MISO_01_FuelOil_042,01,12.3,0.0,,MISO_01_CT_049,,
MISO_01_FuelOil_043,01,9.0,0.0,,MISO_01_CT_051,,
MISO_01_FuelOil_044,01,7.2,0.0,,MISO_01_CT_052,,
