Wind Speed (m/s),Turbine Output,Turbine Output (MW)
0,0,0
0.25,0,0
0.5,0,0
0.75,0,0
1,0,0
1.25,0,0
1.5,0,0
1.75,0,0
2,0,0
2.25,0,0
2.5,0,0
2.75,0,0
3,0.006,9
3.25,0.01475,22.125
3.5,0.0235,35.25
3.75,0.03225,48.375
4,0.041,61.5
4.25,0.05625,84.375
4.5,0.0715,107.25
4.75,0.08675,130.125
5,0.102,153
5.25,0.12375,185.625
5.5,0.1455,218.25
5.75,0.16725,250.875
6,0.189,283.5
6.25,0.2195,329.25
6.5,0.25,375
6.75,0.2805,420.75
7,0.311,466.5
7.25,0.35125,526.875
7.5,0.3915,587.25
7.75,0.43175,647.625
8,0.472,708
8.25,0.51975,779.625
8.5,0.5675,851.25
8.75,0.61525,922.875
9,0.663,994.5
9.25,0.706746667,1060.12
9.5,0.7505,1125.75
9.75,0.794253333,1191.38
10,0.838,1257
10.25,0.865,1297.5
10.5,0.892,1338
10.75,0.919,1378.5
11,0.946,1419
11.25,0.956253333,1434.38
11.5,0.9665,1449.75
11.75,0.976746667,1465.12
12,0.987,1480.5
12.25,0.989746667,1484.62
12.5,0.9925,1488.75
12.75,0.995253333,1492.88
13,0.998,1497
13.25,0.998253333,1497.38
13.5,0.9985,1497.75
13.75,0.998746667,1498.12
14,0.999,1498.5
14.25,0.999253333,1498.88
14.5,0.9995,1499.25
14.75,0.999746667,1499.62
15,1,1500
15.25,1,1500
15.5,1,1500
15.75,1,1500
16,1,1500
16.25,1,1500
16.5,1,1500
16.75,1,1500
17,1,1500
17.25,1,1500
17.5,1,1500
17.75,1,1500
18,1,1500
18.25,1,1500
18.5,1,1500
18.75,1,1500
19,1,1500
19.25,1,1500
19.5,1,1500
19.75,1,1500
20,1,1500
20.25,1,1500
20.5,1,1500
20.75,1,1500
21,1,1500
21.25,1,1500
21.5,1,1500
21.75,1,1500
22,1,1500
22.25,0,0
22.5,0,0
22.75,0,0
23,0,0
23.25,0,0
23.5,0,0
23.75,0,0
24,0,0
24.25,0,0
24.5,0,0
24.75,0,0
25,0,0
25.25,0,0
25.5,0,0
25.75,0,0
26,0,0
26.25,0,0
26.5,0,0
26.75,0,0
27,0,0
27.25,0,0
27.5,0,0
27.75,0,0
28,0,0
28.25,0,0
28.5,0,0
28.75,0,0
29,0,0
29.25,0,0
29.5,0,0
29.75,0,0
30,0,0
30.25,0,0
30.5,0,0
30.75,0,0
31,0,0
31.25,0,0
31.5,0,0
31.75,0,0
32,0,0
32.25,0,0
32.5,0,0
32.75,0,0
33,0,0
33.25,0,0
33.5,0,0
33.75,0,0
34,0,0
34.25,0,0
34.5,0,0
34.75,0,0
35,0,0
35.25,0,0
35.5,0,0
35.75,0,0
36,0,0
36.25,0,0
36.5,0,0
36.75,0,0
37,0,0
37.25,0,0
37.5,0,0
37.75,0,0
38,0,0
38.25,0,0
38.5,0,0
38.75,0,0
39,0,0
39.25,0,0
39.5,0,0
39.75,0,0
40,0,0
