config_idx,hidden_layer_sizes,alpha,learning_rate_init,mean_rmse,std_rmse,fold_0_rmse,fold_1_rmse,fold_2_rmse,fold_3_rmse,fold_4_rmse,fold_5_rmse,fold_6_rmse,fold_7_rmse
16,"(256, 128, 64, 32)",0.02141473893047776,0.0025149549152136508,440.5709481297727,105.9377878581116,409.4154635067694,366.35921948566477,418.423910041681,355.60523680273076,340.2161526799283,450.42251824280805,493.2514436539354,690.873640624664
3,"(256, 128, 64, 32)",3.254277104330504e-05,0.0007957412573105527,465.43409663008293,133.45935380591732,398.62397312576326,376.67407476634645,469.41247922581505,369.18610537738925,375.1008894532115,441.75545949643765,493.58440736823127,799.135384227469
12,"(256, 128, 64, 32)",0.07413766946115141,0.0004483846290786353,469.4712869325258,114.61065518370054,397.97870490662837,383.21719680604053,445.85044122947915,381.40619056768486,427.79650617928513,473.5216561276922,490.0989834698523,755.900616173544
14,"(256, 128, 64)",3.308918125895611e-05,0.0008941489120323654,476.0471337958895,186.64278412682853,410.4255754673181,376.8164908719885,451.0339377690372,370.3395555943534,320.89116685033235,444.45915100292245,481.25476832549396,953.1564244856698
5,"(128, 64, 32)",0.019545485073586322,0.0007705989229173013,482.3037331447489,126.8953474930484,414.2759476525432,391.27758931654296,496.2846569603766,387.27405420941494,392.22413516328464,441.8689560984748,548.7594513785485,786.4650743788051
13,"(256, 128, 64)",0.0003032765451962616,0.0008691837985677529,498.3591328041198,240.59908102759744,411.88101256453666,380.85648506372775,436.1105695494774,370.7113166414401,320.5194501862423,447.1152634485795,498.90841867816295,1120.7705463007921
24,"(128, 64, 32)",0.0007662752960683008,0.0013504304218264751,501.69218218247846,160.2409278500703,418.1061568766902,383.4673231924514,506.82067340764866,385.3327771969241,348.4861311054307,538.0236574744074,552.8187912959334,880.4819469103417
7,"(128, 64)",0.020442061379532986,0.0018337021671045932,508.87978422051964,116.86105028456366,410.68223193319665,372.80453551037226,502.1420925820786,473.6136094999226,395.45694771327265,545.6023969511089,644.7845171059419,725.9519424682637
0,"(64, 32)",0.0005695262671673521,0.005214297905300546,522.2457514168748,89.05283221608147,540.8201627515513,423.69426546473494,518.4569664666175,439.9866373485627,476.868043053962,456.95035004378565,628.9609978870479,692.2285883187362
11,"(128, 64)",4.141502885405815e-05,0.002323260488552255,530.5733115807307,89.98457520027104,434.3300903295101,395.6992805016684,600.8149109571475,513.7351432276873,541.9915593451243,464.9918740648676,626.613995097495,666.409639122345
9,"(256, 128, 64)",0.03736667762931513,0.003603852387684786,531.1722214268566,119.36343496742042,535.9552562110064,431.4231796849222,617.1840553523458,417.9847334972922,356.70570685924406,520.1800315596918,630.5184797071778,739.4263285431725
4,"(256, 128)",0.05094011902587736,0.0019396806804067653,532.1786113533287,101.59356457685385,425.4013590172337,496.0669681357797,606.0528738325546,509.1446697264821,357.1059888644498,554.8706580581211,616.7205144108957,692.0658587811137
19,"(256, 128, 64)",0.005370095583865395,0.0001903290006223861,532.3118543411277,101.36470624346154,437.84569936219106,450.0063670922421,556.741360277167,439.79619182961426,531.5303552796587,475.23819555831227,619.3688271933312,747.9678381365054
23,"(256, 128, 64)",3.623998360341537e-05,0.0001694572471895091,534.6041905703573,105.8200092690742,437.02497512634153,439.41111835494934,529.4481638908328,517.0820923720312,504.10550853620765,485.411983655135,573.1754713059591,791.174211321402
21,"(128, 64)",0.004564607361960839,0.002572354133406629,535.9672574672311,97.82586219976616,430.60050826055544,443.126789904113,606.9105564050045,512.8125965128967,546.0175769517027,455.74469036653545,545.2632282523272,747.2621130847137
17,"(128, 64, 32)",0.00017760965289612674,0.004618698388866125,540.036899569813,164.84568450885442,420.7039160902941,385.9211811829809,624.4927639258711,393.60995477542514,527.3765513078862,554.03460707678,489.5173312112107,924.6388909880566
15,"(128, 64)",8.084206458302165e-05,0.002185888420054086,542.3262719899967,83.13129767545647,432.1757270297985,410.340975712152,610.3398497055872,513.1420286894809,551.1889293877967,554.0959798553,592.7141076753431,674.6125778645147
18,"(128, 64, 32)",0.0003547427399748457,0.0003772734190269595,542.9380269664408,105.89129927814784,506.91848399916546,421.8047708195559,511.18484291563544,486.5031295946186,540.5048450071423,517.7323677939297,553.6509171471989,805.2048584542802
20,"(256, 128, 64)",1.070160899268531e-05,0.0037484243895631324,547.2348782959493,152.8155658105088,450.5721737978357,518.4837893369829,471.9898461913754,440.78621980586615,433.7360211546281,520.5731255601563,619.1452811418494,922.592569378901
1,"(256, 128, 64)",0.006158459876169436,0.00015429601005519726,555.4349403523574,93.58143034846927,517.9470845155097,466.69539842390594,527.228208110101,486.1263222563084,547.9877703270412,507.357057151097,611.9474619954406,778.1902200394555
22,"(128, 64)",0.0006849566747840917,0.001372405316892762,562.8735724289065,60.930533752920184,508.8084990193846,514.3176465052609,568.7909639920538,516.0135718971416,544.7869949725111,553.043272294584,589.1911064848854,708.036524265431
2,"(256, 128)",0.011080485964481503,0.0037336070725030317,573.7900774008203,73.10039042919013,527.9732300782478,514.4037775951377,606.1758568830023,511.9625627305853,522.3838074073166,540.9472676033965,635.417594909212,731.0565219996647
8,"(64, 32)",0.00026188092878568007,0.008737678255441984,582.5112563417842,74.62600821067242,549.6132925008649,522.0604462105093,588.5968017037795,515.6639130733643,545.3912689082938,544.5793771517249,641.2546808621132,752.9302703236245
10,"(256, 128, 64)",0.0007360105081983722,0.00012235100233650854,587.5117407604034,88.29445622247242,539.2834951924856,525.1264538809347,581.4872864498572,519.9332656945588,552.4038640058003,553.2004632541541,622.2130021952362,806.4460954102004
6,"(128, 64, 32)",0.001653252347575385,0.0001341635410168892,588.3163422487554,96.55609478612811,507.52602486092445,492.67408733658255,595.3894338534008,535.5883554873791,559.7825021891451,566.3031411032089,630.7818483492129,818.4853448101891
