Long,Lat,balancing_authority_code,balancing_authority_code_eia,derate_summer_capacity,derate_winter_capacity,fuel_type,generator_id,generator_name,latitude,longitude,plant_id_eia,plant_name_eia,state,summer_capacity_mw,winter_capacity_mw
-95.01180000042805,30.41930000037899,,MISO,73.0,85.0,gas,SJC1, Jacinto Peaking Power Facility_56603_SJC1,30.4193,-95.0118,56603, Jacinto Peaking Power Facility,TX,73.0,85.0
-95.01180000042805,30.41930000037899,,MISO,73.0,85.0,gas,SJC2, Jacinto Peaking Power Facility_56603_SJC2,30.4193,-95.0118,56603, Jacinto Peaking Power Facility,TX,73.0,85.0
-85.04860000017241,42.32670000026495,,MISO,2.0,2.0,solar,FAC13,"13 Mile Solar, LLC_64456_FAC13",42.3267,-85.0486,64456,"13 Mile Solar, LLC",MI,2.0,2.0
-87.4443999997904,41.662800000020354,,MISO,18.0,18.0,gas,10TG,2 AC Station_10211_10TG,41.6628,-87.4444,10211,2 AC Station,IN,18.0,18.0
-87.4443999997904,41.662800000020354,,MISO,18.0,18.0,gas,11TG,2 AC Station_10211_11TG,41.6628,-87.4444,10211,2 AC Station,IN,18.0,18.0
-87.4443999997904,41.662800000020354,,MISO,10.0,10.0,gas,7TG,2 AC Station_10211_7TG,41.6628,-87.4444,10211,2 AC Station,IN,10.0,10.0
-87.4443999997904,41.662800000020354,,MISO,10.0,10.0,gas,8TG,2 AC Station_10211_8TG,41.6628,-87.4444,10211,2 AC Station,IN,10.0,10.0
-87.4443999997904,41.662800000020354,,MISO,18.6,18.8,gas,9TG,2 AC Station_10211_9TG,41.6628,-87.4444,10211,2 AC Station,IN,18.6,18.8
-89.63269999976417,42.339699999690964,,MISO,2.0,2.0,solar,FREE,2662 Freeport Solar 1 CSG_64058_FREE,42.3397,-89.6327,64058,2662 Freeport Solar 1 CSG,IL,2.0,2.0
-93.86009999994846,33.926900000089155,,MISO,2.0,1.6,solar,62289,ACC_67507_62289,33.9269,-93.8601,67507,ACC,AR,2.0,1.6
-96.63339999979588,47.76470000001065,,MISO,3.5,3.5,coal,G1,ACS Crookston_54212_G1,47.7647,-96.6334,54212,ACS Crookston,MN,3.5,3.5
-96.63339999979588,47.76470000001065,,MISO,3.0,3.0,coal,G2,ACS Crookston_54212_G2,47.7647,-96.6334,54212,ACS Crookston,MN,3.0,3.0
-97.17610000021351,48.5931999998682,,MISO,6.0,6.0,coal,G1,ACS Drayton_54213_G1,48.5932,-97.1761,54213,ACS Drayton,ND,6.0,6.0
-97.00720000016845,47.92720000009551,,MISO,2.5,2.5,coal,G1,ACS East Grand Forks_54214_G1,47.9272,-97.0072,54214,ACS East Grand Forks,MN,2.5,2.5
-97.00720000016845,47.92720000009551,,MISO,5.0,5.0,coal,G2,ACS East Grand Forks_54214_G2,47.9272,-97.0072,54214,ACS East Grand Forks,MN,5.0,5.0
-97.06309999985095,47.437600000232464,,MISO,13.3,13.3,coal,G1,ACS Hillsboro_54210_G1,47.4376,-97.0631,54210,ACS Hillsboro,ND,13.3,13.3
-96.76110000002674,46.90259999991153,,SWPP,3.0,3.0,coal,G1,ACS Moorhead_54211_G1,46.9026,-96.7611,54211,ACS Moorhead,MN,3.0,3.0
-96.76110000002674,46.90259999991153,,SWPP,2.0,2.0,coal,G2,ACS Moorhead_54211_G2,46.9026,-96.7611,54211,ACS Moorhead,MN,2.0,2.0
-93.39109999978717,32.00389999972355,,MISO,20.5,20.8,other,GEN1,ADA Carbon Solutions Red River_57938_GEN1,32.0039,-93.3911,57938,ADA Carbon Solutions Red River,LA,20.5,20.8
-91.62799999994546,34.041299999753065,,MISO,4.9,3.9,solar,63612,ADC Varner_67513_63612,34.0413,-91.628,67513,ADC Varner,AR,4.9,3.9
-90.01349999981737,38.48719999996068,,MISO,9.9,9.9,solar,BELL,AES Belleville Solar LLC_65127_BELL,38.4872,-90.0135,65127,AES Belleville Solar LLC,IL,9.9,9.9
-89.0829000001068,42.336400000216784,,PJM,2.0,2.0,solar,BEND1,"AES Bend Solar I, LLC_67719_BEND1",42.3364,-89.0829,67719,"AES Bend Solar I, LLC",IL,2.0,2.0
-89.08259999963283,42.33790000031814,,PJM,1.9,1.9,solar,BEND2,"AES Bend Solar II, LLC_67718_BEND2",42.3379,-89.0826,67718,"AES Bend Solar II, LLC",IL,1.9,1.9
-93.90260000031934,42.66590000011566,,MISO,8.5,8.5,coal,E.C.,AG Processing_10223_E.C.,42.6659,-93.9026,10223,AG Processing,IA,8.5,8.5
-88.24149999968873,40.10519999972005,,MISO,7.5,7.5,gas,T7,Abbott Univ of IL Urbana Champ_54780_T7,40.1052,-88.2415,54780,Abbott Univ of IL Urbana Champ,IL,7.5,7.5
-88.24149999968873,40.10519999972005,,MISO,12.5,15.0,gas,T8,Abbott Univ of IL Urbana Champ_54780_T8,40.1052,-88.2415,54780,Abbott Univ of IL Urbana Champ,IL,12.5,15.0
-88.24149999968873,40.10519999972005,,MISO,12.5,15.0,gas,T9,Abbott Univ of IL Urbana Champ_54780_T9,40.1052,-88.2415,54780,Abbott Univ of IL Urbana Champ,IL,12.5,15.0
-90.03199999999994,41.79299999974475,,MISO,2.0,2.0,solar,PV1,Abel Solar_67790_PV1,41.793,-90.032,67790,Abel Solar,IL,2.0,2.0
-98.49400000006568,45.42990000024141,,SWPP,52.0,60.0,gas,2,Aberdeen CT_3338_2,45.4299,-98.494,3338,Aberdeen CT,SD,52.0,60.0
-98.49400000006568,45.42990000024141,,SWPP,20.5,28.0,oil,GT1,Aberdeen CT_3338_GT1,45.4299,-98.494,3338,Aberdeen CT,SD,20.5,28.0
-92.41309999974965,30.42860000014684,,MISO,170.8,,gas,CT11,Acadia Power Station_55173_CT11,30.4286,-92.4131,55173,Acadia Power Station,LA,170.8,
-92.41309999974965,30.42860000014684,,MISO,167.1,,gas,CT12,Acadia Power Station_55173_CT12,30.4286,-92.4131,55173,Acadia Power Station,LA,167.1,
-92.41309999974965,30.42860000014684,,MISO,144.6,154.2,gas,CT24,Acadia Power Station_55173_CT24,30.4286,-92.4131,55173,Acadia Power Station,LA,144.6,154.2
-92.41309999974965,30.42860000014684,,MISO,143.5,153.0,gas,CT25,Acadia Power Station_55173_CT25,30.4286,-92.4131,55173,Acadia Power Station,LA,143.5,153.0
-92.41309999974965,30.42860000014684,,MISO,196.6,,gas,ST13,Acadia Power Station_55173_ST13,30.4286,-92.4131,55173,Acadia Power Station,LA,196.6,
-92.41309999974965,30.42860000014684,,MISO,242.3,242.5,gas,ST26,Acadia Power Station_55173_ST26,30.4286,-92.4131,55173,Acadia Power Station,LA,242.3,242.5
-85.4940999997376,42.96269999983574,,MISO,22.0,23.0,gas,GEN1,Ada Cogen LP_10819_GEN1,42.9627,-85.4941,10819,Ada Cogen LP,MI,22.0,23.0
-85.4940999997376,42.96269999983574,,MISO,8.0,9.0,gas,GEN2,Ada Cogen LP_10819_GEN2,42.9627,-85.4941,10819,Ada Cogen LP,MI,8.0,9.0
-85.48589999995772,42.950599999879124,,MISO,1.4,1.4,hydro,ADA1,Ada Dam_50433_ADA1,42.9506,-85.4859,50433,Ada Dam,MI,1.4,1.4
-94.66499999959358,41.423599999788735,,MISO,174.8,174.8,wind,AWF,Adair Wind Farm_56810_AWF,41.4236,-94.665,56810,Adair Wind Farm,IA,174.8,174.8
-89.41460000014158,43.95060000005245,,MISO,7.1,7.1,solar,AD329,Adams PV Plant_67596_AD329,43.9506,-89.4146,67596,Adams PV Plant,WI,7.1,7.1
-92.72889999981687,43.55480000028182,,MISO,13.5,13.5,wind,1,Adams Wind Farm_56307_1,43.5548,-92.7289,56307,Adams Wind Farm,MN,13.5,13.5
-92.72889999981687,43.55480000028182,,MISO,9.8,9.8,wind,2,Adams Wind Farm_56307_2,43.5548,-92.7289,56307,Adams Wind Farm,MN,9.8,9.8
-94.7356000000427,44.91690000030367,,MISO,20.0,20.0,wind,AWG,Adams Wind Generations LLC_57375_AWG,44.9169,-94.7356,57375,Adams Wind Generations LLC,MN,20.0,20.0
-94.67169999969855,40.919999999824014,,MISO,4.7,4.7,wind,ADWF,Adams Wind_59637_ADWF,40.92,-94.6717,59637,Adams Wind,IA,4.7,4.7
-94.67169999969855,40.919999999824014,,MISO,39.0,39.0,wind,ADWF2,Adams Wind_59637_ADWF2,40.92,-94.6717,59637,Adams Wind,IA,39.0,39.0
-94.67169999969855,40.919999999824014,,MISO,58.0,58.0,wind,ADWF3,Adams Wind_59637_ADWF3,40.92,-94.6717,59637,Adams Wind,IA,58.0,58.0
-94.67169999969855,40.919999999824014,,MISO,48.3,48.3,wind,ADWF4,Adams Wind_59637_ADWF4,40.92,-94.6717,59637,Adams Wind,IA,48.3,48.3
-89.80359999997464,42.362199999918396,,PJM,4.0,5.0,gas,S5MW,Adkins Energy LLC_58136_S5MW,42.3622,-89.8036,58136,Adkins Energy LLC,IL,4.0,5.0
-89.80359999997464,42.362199999918396,,PJM,1.8,1.8,gas,ST2MW,Adkins Energy LLC_58136_ST2MW,42.3622,-89.8036,58136,Adkins Energy LLC,IL,1.8,1.8
-84.04109999994085,41.89099999980663,,MISO,0.8,0.8,biomass,UNT1,Adrian Energy Assoc_54903_UNT1,41.891,-84.0411,54903,Adrian Energy Assoc,MI,0.8,0.8
-84.04109999994085,41.89099999980663,,MISO,0.8,0.8,biomass,UNT2,Adrian Energy Assoc_54903_UNT2,41.891,-84.0411,54903,Adrian Energy Assoc,MI,0.8,0.8
-84.04109999994085,41.89099999980663,,MISO,0.8,0.8,biomass,UNT3,Adrian Energy Assoc_54903_UNT3,41.891,-84.0411,54903,Adrian Energy Assoc,MI,0.8,0.8
-95.93280000024295,43.63709999995507,,SWPP,0.4,0.4,oil,3,Adrian_1956_3,43.6371,-95.9328,1956,Adrian,MN,0.4,0.4
-95.93280000024295,43.63709999995507,,SWPP,0.5,0.6,oil,4,Adrian_1956_4,43.6371,-95.9328,1956,Adrian,MN,0.5,0.6
-95.93280000024295,43.63709999995507,,SWPP,2.0,2.0,oil,5,Adrian_1956_5,43.6371,-95.9328,1956,Adrian,MN,2.0,2.0
-96.43559999960642,47.00529999975683,,MISO,1.9,1.9,wind,AB30,Agassiz Beach LLC_55576_AB30,47.0053,-96.4356,55576,Agassiz Beach LLC,MN,1.9,1.9
-91.14670000011436,40.816700000109414,,MISO,15.8,18.7,gas,1,Agency GT_7706_1,40.8167,-91.1467,7706,Agency GT,IA,15.8,18.7
-91.14670000011436,40.816700000109414,,MISO,15.5,18.4,gas,2,Agency GT_7706_2,40.8167,-91.1467,7706,Agency GT,IA,15.5,18.4
-91.14670000011436,40.816700000109414,,MISO,12.2,14.5,gas,3,Agency GT_7706_3,40.8167,-91.1467,7706,Agency GT,IA,12.2,14.5
-91.14670000011436,40.816700000109414,,MISO,16.6,19.6,gas,4,Agency GT_7706_4,40.8167,-91.1467,7706,Agency GT,IA,16.6,19.6
-90.86639999983909,41.69189999971212,,MISO,1.0,1.0,biomass,1,AgriReNew_59181_1,41.6919,-90.8664,59181,AgriReNew,IA,1.0,1.0
-89.62360000035903,41.30169999968971,,MISO,8.4,8.4,wind,AWND1,AgriWind_56408_AWND1,41.3017,-89.6236,56408,AgriWind,IL,8.4,8.4
-84.82539999967887,45.0637000001747,,MISO,202.6,220.0,gas,AI1,Alpine Power Plant_59926_AI1,45.0637,-84.8254,59926,Alpine Power Plant,MI,202.6,220.0
-84.82539999967887,45.0637000001747,,MISO,202.6,220.0,gas,AI2,Alpine Power Plant_59926_AI2,45.0637,-84.8254,59926,Alpine Power Plant,MI,202.6,220.0
-90.43600000017527,39.56979999969966,,MISO,30.0,34.7,gas,1,Alsey_7818_1,39.5698,-90.436,7818,Alsey,IL,30.0,34.7
-90.43600000017527,39.56979999969966,,MISO,30.0,34.7,gas,2,Alsey_7818_2,39.5698,-90.436,7818,Alsey,IL,30.0,34.7
-90.43600000017527,39.56979999969966,,MISO,19.3,20.3,gas,3,Alsey_7818_3,39.5698,-90.436,7818,Alsey,IL,19.3,20.3
-90.43600000017527,39.56979999969966,,MISO,18.0,19.4,gas,4,Alsey_7818_4,39.5698,-90.436,7818,Alsey,IL,18.0,19.4
-90.43600000017527,39.56979999969966,,MISO,25.0,26.7,gas,5,Alsey_7818_5,39.5698,-90.436,7818,Alsey,IL,25.0,26.7
-90.43600000017527,39.56979999969966,,MISO,42.0,45.0,gas,6,Alsey_7818_6,39.5698,-90.436,7818,Alsey,IL,42.0,45.0
-89.06769999974799,40.20000000026295,,PJM,200.5,200.5,wind,WT2,"Alta Farms II Wind Project, LLC_64088_WT2",40.2,-89.0677,64088,"Alta Farms II Wind Project, LLC",IL,200.5,200.5
-95.40499999971016,42.68780000015193,,MISO,0.7,0.7,wind,2,Alta Iowa Storm Lake I_54793_2,42.6878,-95.405,54793,Alta Iowa Storm Lake I,IA,0.7,0.7
-95.40499999971016,42.68780000015193,,MISO,0.7,0.7,wind,3,Alta Iowa Storm Lake I_54793_3,42.6878,-95.405,54793,Alta Iowa Storm Lake I,IA,0.7,0.7
-95.40499999971016,42.68780000015193,,MISO,104.3,104.3,wind,EXIS,Alta Iowa Storm Lake I_54793_EXIS,42.6878,-95.405,54793,Alta Iowa Storm Lake I,IA,104.3,104.3
-95.30389999988263,42.673599999932904,,SWPP,0.9,1.0,oil,1,Alta_1121_1,42.6736,-95.3039,1121,Alta,IA,0.9,1.0
-95.30389999988263,42.673599999932904,,SWPP,2.0,2.1,oil,2A,Alta_1121_2A,42.6736,-95.3039,1121,Alta,IA,2.0,2.1
-95.30389999988263,42.673599999932904,,SWPP,1.0,1.1,oil,3,Alta_1121_3,42.6736,-95.3039,1121,Alta,IA,1.0,1.1
-95.30389999988263,42.673599999932904,,SWPP,2.0,2.1,oil,3A,Alta_1121_3A,42.6736,-95.3039,1121,Alta,IA,2.0,2.1
-93.4857999999837,43.9250000003135,,MISO,1.0,1.0,solar,ALTA,Altair Community Solar Garden_61645_ALTA,43.925,-93.4858,61645,Altair Community Solar Garden,MN,1.0,1.0
-88.74999999997279,39.06879999980814,,MISO,1.8,1.8,oil,1,Altamont_7990_1,39.0688,-88.75,7990,Altamont,IL,1.8,1.8
-88.74999999997279,39.06879999980814,,MISO,1.8,1.8,oil,2,Altamont_7990_2,39.0688,-88.75,7990,Altamont,IL,1.8,1.8
-88.74999999997279,39.06879999980814,,MISO,1.8,1.8,oil,3,Altamont_7990_3,39.0688,-88.75,7990,Altamont,IL,1.8,1.8
-88.74999999997279,39.06879999980814,,MISO,1.8,1.8,oil,4,Altamont_7990_4,39.0688,-88.75,7990,Altamont,IL,1.8,1.8
-92.14200000023524,39.283400000308085,,MISO,30.0,30.0,solar,PV,"Altona Solar, LLC_66628_PV",39.2834,-92.142,66628,"Altona Solar, LLC",MO,30.0,30.0
